"base_year_month","day_of_week","age_range","sex","use_count"
"201801","월요일","60대","남성","26126"
"201801","월요일","60대","여성","15479"
"201801","월요일","70대 이상","남성","8644"
"201801","월요일","70대 이상","여성","4405"
"201801","월요일","알수없음","알수없음","72106"
"201801","일요일","19세 이하","남성","946"
"201801","일요일","19세 이하","여성","640"
"201801","일요일","20대","남성","43483"
"201801","일요일","20대","여성","43092"
"201801","일요일","30대","남성","79659"
"201801","일요일","30대","여성","60021"
"201801","일요일","40대","남성","98757"
"201801","일요일","40대","여성","67877"
"201801","일요일","50대","남성","86828"
"201801","일요일","50대","여성","51467"
"201801","일요일","60대","남성","34465"
"201801","일요일","60대","여성","18944"
"201801","일요일","70대 이상","남성","9832"
"201801","일요일","70대 이상","여성","5099"
"201801","일요일","알수없음","알수없음","69139"
"201801","토요일","19세 이하","남성","887"
"201801","토요일","19세 이하","여성","607"
"201801","토요일","20대","남성","37406"
"201801","토요일","20대","여성","37509"
"201801","토요일","30대","남성","66956"
"201801","토요일","30대","여성","50875"
"201801","토요일","40대","남성","84405"
"201801","토요일","40대","여성","59658"
"201801","토요일","50대","남성","72702"
"201801","토요일","50대","여성","43691"
"201801","토요일","60대","남성","28131"
"201801","토요일","60대","여성","15943"
"201801","토요일","70대 이상","남성","8423"
"201801","토요일","70대 이상","여성","4460"
"201801","토요일","알수없음","알수없음","66585"
"201801","화요일","19세 이하","남성","935"
"201801","화요일","19세 이하","여성","721"
"201801","화요일","20대","남성","40604"
"201801","화요일","20대","여성","43173"
"201801","화요일","30대","남성","63605"
"201801","화요일","30대","여성","48512"
"201801","화요일","40대","남성","81568"
"201801","화요일","40대","여성","59406"
"201801","화요일","50대","남성","72656"
"201801","화요일","50대","여성","47547"
"201801","화요일","60대","남성","31084"
"201801","화요일","60대","여성","18428"
"201801","화요일","70대 이상","남성","9571"
"201801","화요일","70대 이상","여성","5127"
"201801","화요일","알수없음","알수없음","88891"
"201802","공휴일","19세 이하","남성","367"
"201802","공휴일","19세 이하","여성","254"
"201802","공휴일","20대","남성","23640"
"201802","공휴일","20대","여성","21774"
"201802","공휴일","30대","남성","42061"
"201802","공휴일","30대","여성","29082"
"201802","공휴일","40대","남성","49520"
"201802","공휴일","40대","여성","31036"
"201802","공휴일","50대","남성","42047"
"201802","공휴일","50대","여성","25491"
"201802","공휴일","60대","남성","16964"
"201802","공휴일","60대","여성","10022"
"201802","공휴일","70대 이상","남성","4443"
"201802","공휴일","70대 이상","여성","2636"
"201802","공휴일","알수없음","알수없음","29609"
"201802","금요일","19세 이하","남성","676"
"201802","금요일","19세 이하","여성","566"
"201802","금요일","20대","남성","29574"
"201802","금요일","20대","여성","30679"
"201802","금요일","30대","남성","43868"
"201802","금요일","30대","여성","32631"
"201802","금요일","40대","남성","54272"
"201802","금요일","40대","여성","38448"
"201802","금요일","50대","남성","46860"
"201802","금요일","50대","여성","29189"
"201802","금요일","60대","남성","19820"
"201802","금요일","60대","여성","11544"
"201802","금요일","70대 이상","남성","6606"
"201802","금요일","70대 이상","여성","3529"
"201802","금요일","알수없음","알수없음","60637"
"201802","목요일","19세 이하","남성","691"
"201802","목요일","19세 이하","여성","530"
"201802","목요일","20대","남성","29952"
"201802","목요일","20대","여성","31938"
"201802","목요일","30대","남성","39738"
"201802","목요일","30대","여성","29278"
"201802","목요일","40대","남성","50112"
"201802","목요일","40대","여성","35360"
"201802","목요일","50대","남성","43513"
"201802","목요일","50대","여성","27771"
"201802","목요일","60대","남성","18427"
"201802","목요일","60대","여성","10745"
"201802","목요일","70대 이상","남성","6132"
"201802","목요일","70대 이상","여성","3023"
"201802","목요일","알수없음","알수없음","56312"
"201802","수요일","19세 이하","남성","870"
"201802","수요일","19세 이하","여성","780"
"201802","수요일","20대","남성","40684"
"201802","수요일","20대","여성","42532"
"201802","수요일","30대","남성","54194"
"201802","수요일","30대","여성","40429"
"201802","수요일","40대","남성","69462"
"201802","수요일","40대","여성","48993"
"201802","수요일","50대","남성","61217"
"201802","수요일","50대","여성","40400"
"201802","수요일","60대","남성","26883"
"201802","수요일","60대","여성","16730"
"201802","수요일","70대 이상","남성","9197"
"201802","수요일","70대 이상","여성","4992"
"201802","수요일","알수없음","알수없음","74077"
"201802","월요일","19세 이하","남성","758"
"201802","월요일","19세 이하","여성","616"
"201802","월요일","20대","남성","36684"
"201802","월요일","20대","여성","36870"
"201802","월요일","30대","남성","52173"
"201802","월요일","30대","여성","38522"
"201802","월요일","40대","남성","65783"
"201802","월요일","40대","여성","45458"
"201802","월요일","50대","남성","55857"
"201802","월요일","50대","여성","35561"
"201802","월요일","60대","남성","24275"
"201802","월요일","60대","여성","14130"
"201802","월요일","70대 이상","남성","7917"
"201802","월요일","70대 이상","여성","3938"
"201802","월요일","알수없음","알수없음","68424"
"201802","일요일","19세 이하","남성","739"
"201802","일요일","19세 이하","여성","593"
"201802","일요일","20대","남성","36257"
"201802","일요일","20대","여성","35491"
"201802","일요일","30대","남성","57791"
"201802","일요일","30대","여성","41560"
"201802","일요일","40대","남성","69407"
"201802","일요일","40대","여성","45987"
"201802","일요일","50대","남성","58669"
"201802","일요일","50대","여성","34268"
"201802","일요일","60대","남성","23235"
"201802","일요일","60대","여성","12555"
"201802","일요일","70대 이상","남성","6448"
"201802","일요일","70대 이상","여성","3295"
"201802","일요일","알수없음","알수없음","47448"
"201802","토요일","19세 이하","남성","701"
"201802","토요일","19세 이하","여성","468"
"201802","토요일","20대","남성","28661"
"201802","토요일","20대","여성","29561"
"201802","토요일","30대","남성","47072"
"201802","토요일","30대","여성","35628"
"201802","토요일","40대","남성","58496"
"201802","토요일","40대","여성","40434"
"201802","토요일","50대","남성","49551"
"201802","토요일","50대","여성","29329"
"201802","토요일","60대","남성","19738"
"201802","토요일","60대","여성","11089"
"201802","토요일","70대 이상","남성","5887"
"201802","토요일","70대 이상","여성","3210"
"201802","토요일","알수없음","알수없음","47297"
"201802","화요일","19세 이하","남성","864"
"201802","화요일","19세 이하","여성","710"
"201802","화요일","20대","남성","39099"
"201802","화요일","20대","여성","40059"
"201802","화요일","30대","남성","52077"
"201802","화요일","30대","여성","38319"
"201802","화요일","40대","남성","67658"
"201802","화요일","40대","여성","46970"
"201802","화요일","50대","남성","56875"
"201802","화요일","50대","여성","37414"
"201802","화요일","60대","남성","24887"
"201802","화요일","60대","여성","14754"
"201802","화요일","70대 이상","남성","8431"
"201802","화요일","70대 이상","여성","4326"
"201802","화요일","알수없음","알수없음","72080"
"201803","공휴일","19세 이하","남성","207"
"201803","공휴일","19세 이하","여성","163"
"201803","공휴일","20대","남성","9699"
"201803","공휴일","20대","여성","10442"
"201803","공휴일","30대","남성","16947"
"201803","공휴일","30대","여성","13019"
"201803","공휴일","40대","남성","19235"
"201803","공휴일","40대","여성","13534"
"201803","공휴일","50대","남성","16007"
"201803","공휴일","50대","여성","9938"
"201803","공휴일","60대","남성","6958"
"201803","공휴일","60대","여성","3961"
"201803","공휴일","70대 이상","남성","2021"
"201803","공휴일","70대 이상","여성","1095"
"201803","공휴일","알수없음","알수없음","16360"
"201803","금요일","19세 이하","남성","1444"
"201803","금요일","19세 이하","여성","1312"
"201803","금요일","20대","남성","43578"
"201803","금요일","20대","여성","45641"
"201803","금요일","30대","남성","76398"
"201803","금요일","30대","여성","59620"
"201803","금요일","40대","남성","88607"
"201803","금요일","40대","여성","59631"
"201803","금요일","50대","남성","76572"
"201803","금요일","50대","여성","47420"
"201803","금요일","60대","남성","34763"
"201803","금요일","60대","여성","19844"
"201803","금요일","70대 이상","남성","11338"
"201803","금요일","70대 이상","여성","5706"
"201803","금요일","알수없음","알수없음","99504"
"201803","목요일","19세 이하","남성","1513"
"201803","목요일","19세 이하","여성","1288"
"201803","목요일","20대","남성","35410"
"201803","목요일","20대","여성","35941"
"201803","목요일","30대","남성","56501"
"201803","목요일","30대","여성","42949"
"201803","목요일","40대","남성","66689"
"201803","목요일","40대","여성","44481"
"201803","목요일","50대","남성","57595"
"201803","목요일","50대","여성","36723"
"201803","목요일","60대","남성","26468"
"201803","목요일","60대","여성","16166"
"201803","목요일","70대 이상","남성","8644"
"201803","목요일","70대 이상","여성","4604"
"201803","목요일","알수없음","알수없음","76802"
"201803","수요일","19세 이하","남성","1678"
"201803","수요일","19세 이하","여성","1352"
"201803","수요일","20대","남성","46480"
"201803","수요일","20대","여성","46359"
"201803","수요일","30대","남성","71570"
"201803","수요일","30대","여성","52993"
"201803","수요일","40대","남성","85974"
"201803","수요일","40대","여성","56675"
"201803","수요일","50대","남성","72330"
"201803","수요일","50대","여성","46428"
"201803","수요일","60대","남성","32988"
"201803","수요일","60대","여성","19898"
"201803","수요일","70대 이상","남성","10435"
"201803","수요일","70대 이상","여성","5648"
"201803","수요일","알수없음","알수없음","95449"
"201803","월요일","19세 이하","남성","941"
"201803","월요일","19세 이하","여성","762"
"201803","월요일","20대","남성","36409"
"201803","월요일","20대","여성","38169"
"201803","월요일","30대","남성","60152"
"201803","월요일","30대","여성","47021"
"201803","월요일","40대","남성","66729"
"201803","월요일","40대","여성","45561"
"201803","월요일","50대","남성","57529"
"201803","월요일","50대","여성","38366"
"201803","월요일","60대","남성","27043"
"201803","월요일","60대","여성","16252"
"201803","월요일","70대 이상","남성","9107"
"201803","월요일","70대 이상","여성","4697"
"201803","월요일","알수없음","남성","1"
"201803","월요일","알수없음","알수없음","73519"
"201803","일요일","19세 이하","남성","922"
"201803","일요일","19세 이하","여성","802"
"201803","일요일","20대","남성","37062"
"201803","일요일","20대","여성","38940"
"201803","일요일","30대","남성","68682"
"201803","일요일","30대","여성","53719"
"201803","일요일","40대","남성","77648"
"201803","일요일","40대","여성","52414"
"201803","일요일","50대","남성","66061"
"201803","일요일","50대","여성","41250"
"201803","일요일","60대","남성","28477"
"201803","일요일","60대","여성","15719"
"201803","일요일","70대 이상","남성","7872"
"201803","일요일","70대 이상","여성","3976"
"201803","일요일","알수없음","알수없음","55731"
"201803","토요일","19세 이하","남성","1081"
"201803","토요일","19세 이하","여성","845"
"201803","토요일","20대","남성","37590"
"201803","토요일","20대","여성","40140"
"201803","토요일","30대","남성","71416"
"201803","토요일","30대","여성","56234"
"201803","토요일","40대","남성","81326"
"201803","토요일","40대","여성","56563"
"201803","토요일","50대","남성","68185"
"201803","토요일","50대","여성","42659"
"201803","토요일","60대","남성","28907"
"201803","토요일","60대","여성","16121"
"201803","토요일","70대 이상","남성","8501"
"201803","토요일","70대 이상","여성","4312"
"201803","토요일","알수없음","알수없음","67020"
"201803","화요일","19세 이하","남성","1293"
"201803","화요일","19세 이하","여성","1038"
"201803","화요일","20대","남성","39025"
"201803","화요일","20대","여성","39502"
"201803","화요일","30대","남성","60195"
"201803","화요일","30대","여성","45856"
"201803","화요일","40대","남성","70775"
"201803","화요일","40대","여성","47749"
"201803","화요일","50대","남성","58949"
"201803","화요일","50대","여성","39606"
"201803","화요일","60대","남성","27773"
"201803","화요일","60대","여성","16725"
"201803","화요일","70대 이상","남성","9150"
"201803","화요일","70대 이상","여성","4772"
"201803","화요일","알수없음","알수없음","77584"
"201804","공휴일","40대","여성","1"
"201804","금요일","19세 이하","남성","2013"
"201804","금요일","19세 이하","여성","1859"
"201804","금요일","20대","남성","38343"
"201804","금요일","20대","여성","38830"
"201804","금요일","30대","남성","68869"
"201804","금요일","30대","여성","53786"
"201804","금요일","40대","남성","81188"
"201804","금요일","40대","여성","54969"
"201804","금요일","50대","남성","67682"
"201804","금요일","50대","여성","43665"
"201804","금요일","60대","남성","30774"
"201804","금요일","60대","여성","18225"
"201804","금요일","70대 이상","남성","9605"
"201804","금요일","70대 이상","여성","5260"
"201804","금요일","알수없음","알수없음","89168"
"201804","목요일","19세 이하","남성","2455"
"201804","목요일","19세 이하","여성","2198"
"201804","목요일","20대","남성","39514"
"201804","목요일","20대","여성","40375"
"201804","목요일","30대","남성","65388"
"201804","목요일","30대","여성","50530"
"201804","목요일","40대","남성","78103"
"201804","목요일","40대","여성","53440"
"201804","목요일","50대","남성","65155"
"201804","목요일","50대","여성","43419"
"201804","목요일","60대","남성","30654"
"201804","목요일","60대","여성","19230"
"201804","목요일","70대 이상","남성","10047"
"201804","목요일","70대 이상","여성","5616"
"201804","목요일","알수없음","알수없음","88770"
"201804","수요일","19세 이하","남성","2438"
"201804","수요일","19세 이하","여성","2208"
"201804","수요일","20대","남성","38875"
"201804","수요일","20대","여성","38575"
"201804","수요일","30대","남성","62224"
"201804","수요일","30대","여성","47306"
"201804","수요일","40대","남성","74476"
"201804","수요일","40대","여성","51268"
"201804","수요일","50대","남성","63219"
"201804","수요일","50대","여성","43163"
"201804","수요일","60대","남성","29838"
"201804","수요일","60대","여성","19198"
"201804","수요일","70대 이상","남성","10140"
"201804","수요일","70대 이상","여성","5623"
"201804","수요일","알수없음","알수없음","85537"
"201804","월요일","19세 이하","남성","1410"
"201804","월요일","19세 이하","여성","927"
"201804","월요일","20대","남성","36438"
"201804","월요일","20대","여성","38264"
"201804","월요일","30대","남성","64035"
"201804","월요일","30대","여성","50067"
"201804","월요일","40대","남성","72277"
"201804","월요일","40대","여성","49987"
"201804","월요일","50대","남성","61128"
"201804","월요일","50대","여성","41686"
"201804","월요일","60대","남성","29090"
"201804","월요일","60대","여성","18108"
"201804","월요일","70대 이상","남성","9707"
"201804","월요일","70대 이상","여성","5101"
"201804","월요일","알수없음","알수없음","78708"
"201804","일요일","19세 이하","남성","1403"
"201804","일요일","19세 이하","여성","996"
"201804","일요일","20대","남성","44286"
"201804","일요일","20대","여성","46435"
"201804","일요일","30대","남성","86515"
"201804","일요일","30대","여성","68157"
"201804","일요일","40대","남성","99609"
"201804","일요일","40대","여성","68844"
"201804","일요일","50대","남성","85870"
"201804","일요일","50대","여성","54946"
"201804","일요일","60대","남성","37521"
"201804","일요일","60대","여성","21527"
"201804","일요일","70대 이상","남성","10255"
"201804","일요일","70대 이상","여성","5450"
"201804","일요일","알수없음","알수없음","72020"
"201804","토요일","19세 이하","남성","1493"
"201804","토요일","19세 이하","여성","1137"
"201804","토요일","20대","남성","45572"
"201804","토요일","20대","여성","49065"
"201804","토요일","30대","남성","89648"
"201804","토요일","30대","여성","72292"
"201804","토요일","40대","남성","106295"
"201804","토요일","40대","여성","74856"
"201804","토요일","50대","남성","89232"
"201804","토요일","50대","여성","57325"
"201804","토요일","60대","남성","38415"
"201804","토요일","60대","여성","22284"
"201804","토요일","70대 이상","남성","10968"
"201804","토요일","70대 이상","여성","6043"
"201804","토요일","알수없음","알수없음","88195"
"201804","화요일","19세 이하","남성","1920"
"201804","화요일","19세 이하","여성","1514"
"201804","화요일","20대","남성","38134"
"201804","화요일","20대","여성","37712"
"201804","화요일","30대","남성","61884"
"201804","화요일","30대","여성","47693"
"201804","화요일","40대","남성","73262"
"201804","화요일","40대","여성","50234"
"201804","화요일","50대","남성","61855"
"201804","화요일","50대","여성","42812"
"201804","화요일","60대","남성","29142"
"201804","화요일","60대","여성","18796"
"201804","화요일","70대 이상","남성","10030"
"201804","화요일","70대 이상","여성","5431"
"201804","화요일","알수없음","알수없음","81804"
"201805","공휴일","19세 이하","남성","1432"
"201805","공휴일","19세 이하","여성","1117"
"201805","공휴일","20대","남성","35274"
"201805","공휴일","20대","여성","35835"
"201805","공휴일","30대","남성","67199"
"201805","공휴일","30대","여성","53363"
"201805","공휴일","40대","남성","87178"
"201805","공휴일","40대","여성","60444"
"201805","공휴일","50대","남성","69880"
"201805","공휴일","50대","여성","44162"
"201805","공휴일","60대","남성","29587"
"201805","공휴일","60대","여성","17293"
"201805","공휴일","70대 이상","남성","8843"
"201805","공휴일","70대 이상","여성","4881"
"201805","공휴일","알수없음","알수없음","68485"
"201805","금요일","19세 이하","남성","2564"
"201805","금요일","19세 이하","여성","2865"
"201805","금요일","20대","남성","40585"
"201805","금요일","20대","여성","39873"
"201805","금요일","30대","남성","72495"
"201805","금요일","30대","여성","53698"
"201805","금요일","40대","남성","87595"
"201805","금요일","40대","여성","59161"
"201805","금요일","50대","남성","71426"
"201805","금요일","50대","여성","45286"
"201805","금요일","60대","남성","32017"
"201805","금요일","60대","여성","19325"
"201805","금요일","70대 이상","남성","10251"
"201805","금요일","70대 이상","여성","5296"
"201805","금요일","알수없음","알수없음","93268"
"201805","목요일","19세 이하","남성","3180"
"201805","목요일","19세 이하","여성","2933"
"201805","목요일","20대","남성","38127"
"201805","목요일","20대","여성","37640"
"201805","목요일","30대","남성","63501"
"201805","목요일","30대","여성","47374"
"201805","목요일","40대","남성","77771"
"201805","목요일","40대","여성","53926"
"201805","목요일","50대","남성","64137"
"201805","목요일","50대","여성","41628"
"201805","목요일","60대","남성","29186"
"201805","목요일","60대","여성","17752"
"201805","목요일","70대 이상","남성","9740"
"201805","목요일","70대 이상","여성","5101"
"201805","목요일","알수없음","알수없음","90202"
"201805","수요일","19세 이하","남성","3937"
"201805","수요일","19세 이하","여성","3579"
"201805","수요일","20대","남성","43829"
"201805","수요일","20대","여성","43688"
"201805","수요일","30대","남성","72337"
"201805","수요일","30대","여성","55063"
"201805","수요일","40대","남성","88155"
"201805","수요일","40대","여성","62940"
"201805","수요일","50대","남성","75400"
"201805","수요일","50대","여성","49643"
"201805","수요일","60대","남성","34767"
"201805","수요일","60대","여성","21989"
"201805","수요일","70대 이상","남성","11601"
"201805","수요일","70대 이상","여성","6402"
"201805","수요일","알수없음","알수없음","105492"
"201805","월요일","19세 이하","남성","1882"
"201805","월요일","19세 이하","여성","1325"
"201805","월요일","20대","남성","37202"
"201805","월요일","20대","여성","40390"
"201805","월요일","30대","남성","68739"
"201805","월요일","30대","여성","54586"
"201805","월요일","40대","남성","79815"
"201805","월요일","40대","여성","57038"
"201805","월요일","50대","남성","65340"
"201805","월요일","50대","여성","43622"
"201805","월요일","60대","남성","29860"
"201805","월요일","60대","여성","18382"
"201805","월요일","70대 이상","남성","9607"
"201805","월요일","70대 이상","여성","5262"
"201805","월요일","알수없음","알수없음","83438"
"201805","일요일","19세 이하","남성","1109"
"201805","일요일","19세 이하","여성","875"
"201805","일요일","20대","남성","38306"
"201805","일요일","20대","여성","38794"
"201805","일요일","30대","남성","73223"
"201805","일요일","30대","여성","55744"
"201805","일요일","40대","남성","86805"
"201805","일요일","40대","여성","60214"
"201805","일요일","50대","남성","71862"
"201805","일요일","50대","여성","44845"
"201805","일요일","60대","남성","29957"
"201805","일요일","60대","여성","17531"
"201805","일요일","70대 이상","남성","8043"
"201805","일요일","70대 이상","여성","4586"
"201805","일요일","알수없음","알수없음","61478"
"201805","토요일","19세 이하","남성","1062"
"201805","토요일","19세 이하","여성","851"
"201805","토요일","20대","남성","31507"
"201805","토요일","20대","여성","32437"
"201805","토요일","30대","남성","59525"
"201805","토요일","30대","여성","45842"
"201805","토요일","40대","남성","71040"
"201805","토요일","40대","여성","49882"
"201805","토요일","50대","남성","57360"
"201805","토요일","50대","여성","36398"
"201805","토요일","60대","남성","24121"
"201805","토요일","60대","여성","13815"
"201805","토요일","70대 이상","남성","6896"
"201805","토요일","70대 이상","여성","3668"
"201805","토요일","알수없음","알수없음","56935"
"201805","화요일","19세 이하","남성","2163"
"201805","화요일","19세 이하","여성","1681"
"201805","화요일","20대","남성","27981"
"201805","화요일","20대","여성","27334"
"201805","화요일","30대","남성","45565"
"201805","화요일","30대","여성","35308"
"201805","화요일","40대","남성","55196"
"201805","화요일","40대","여성","39013"
"201805","화요일","50대","남성","46219"
"201805","화요일","50대","여성","31017"
"201805","화요일","60대","남성","21462"
"201805","화요일","60대","여성","13603"
"201805","화요일","70대 이상","남성","7063"
"201805","화요일","70대 이상","여성","3908"
"201805","화요일","알수없음","알수없음","62856"
"201806","공휴일","19세 이하","남성","363"
"201806","공휴일","19세 이하","여성","335"
"201806","공휴일","20대","남성","9821"
"201806","공휴일","20대","여성","10277"
"201806","공휴일","30대","남성","18764"
"201806","공휴일","30대","여성","14985"
"201806","공휴일","40대","남성","23148"
"201806","공휴일","40대","여성","16411"
"201806","공휴일","50대","남성","17920"
"201806","공휴일","50대","여성","11842"
"201806","공휴일","60대","남성","7768"
"201806","공휴일","60대","여성","4913"
"201806","공휴일","70대 이상","남성","2495"
"201806","공휴일","70대 이상","여성","1453"
"201806","공휴일","알수없음","알수없음","17980"
"201806","금요일","19세 이하","남성","1739"
"201806","금요일","19세 이하","여성","1507"
"201806","금요일","20대","남성","49258"
"201806","금요일","20대","여성","49982"
"201806","금요일","30대","남성","84807"
"201806","금요일","30대","여성","65958"
"201806","금요일","40대","남성","102545"
"201806","금요일","40대","여성","71369"
"201806","금요일","50대","남성","82820"
"201806","금요일","50대","여성","52984"
"201806","금요일","60대","남성","37092"
"201806","금요일","60대","여성","22133"
"201806","금요일","70대 이상","남성","11819"
"201806","금요일","70대 이상","여성","6225"
"201806","금요일","알수없음","알수없음","111213"
"201806","목요일","19세 이하","남성","2068"
"201806","목요일","19세 이하","여성","1676"
"201806","목요일","20대","남성","50634"
"201806","목요일","20대","여성","52427"
"201806","목요일","30대","남성","82479"
"201806","목요일","30대","여성","63781"
"201806","목요일","40대","남성","98184"
"201806","목요일","40대","여성","68455"
"201806","목요일","50대","남성","80127"
"201806","목요일","50대","여성","51694"
"201806","목요일","60대","남성","35861"
"201806","목요일","60대","여성","22608"
"201806","목요일","70대 이상","남성","11607"
"201806","목요일","70대 이상","여성","6455"
"201806","목요일","알수없음","알수없음","110671"
"201806","수요일","19세 이하","남성","1289"
"201806","수요일","19세 이하","여성","941"
"201806","수요일","20대","남성","36635"
"201806","수요일","20대","여성","37869"
"201806","수요일","30대","남성","56361"
"201806","수요일","30대","여성","43231"
"201806","수요일","40대","남성","66444"
"201806","수요일","40대","여성","46231"
"201806","수요일","50대","남성","53875"
"201806","수요일","50대","여성","35263"
"201806","수요일","60대","남성","23328"
"201806","수요일","60대","여성","14662"
"201806","수요일","70대 이상","남성","7357"
"201806","수요일","70대 이상","여성","4159"
"201806","수요일","알수없음","알수없음","64333"
"201806","월요일","19세 이하","남성","1118"
"201806","월요일","19세 이하","여성","731"
"201806","월요일","20대","남성","41636"
"201806","월요일","20대","여성","43713"
"201806","월요일","30대","남성","69982"
"201806","월요일","30대","여성","55743"
"201806","월요일","40대","남성","81486"
"201806","월요일","40대","여성","58097"
"201806","월요일","50대","남성","65060"
"201806","월요일","50대","여성","42917"
"201806","월요일","60대","남성","29433"
"201806","월요일","60대","여성","18765"
"201806","월요일","70대 이상","남성","9954"
"201806","월요일","70대 이상","여성","5436"
"201806","월요일","알수없음","알수없음","85606"
"201806","일요일","19세 이하","남성","1144"
"201806","일요일","19세 이하","여성","819"
"201806","일요일","20대","남성","41123"
"201806","일요일","20대","여성","41949"
"201806","일요일","30대","남성","75535"
"201806","일요일","30대","여성","59610"
"201806","일요일","40대","남성","88912"
"201806","일요일","40대","여성","61875"
"201806","일요일","50대","남성","71829"
"201806","일요일","50대","여성","45338"
"201806","일요일","60대","남성","29889"
"201806","일요일","60대","여성","17461"
"201806","일요일","70대 이상","남성","8572"
"201806","일요일","70대 이상","여성","4597"
"201806","일요일","알수없음","알수없음","62110"
"201806","토요일","19세 이하","남성","1353"
"201806","토요일","19세 이하","여성","946"
"201806","토요일","20대","남성","41419"
"201806","토요일","20대","여성","43546"
"201806","토요일","30대","남성","79711"
"201806","토요일","30대","여성","63989"
"201806","토요일","40대","남성","94696"
"201806","토요일","40대","여성","67433"
"201806","토요일","50대","남성","75809"
"201806","토요일","50대","여성","47614"
"201806","토요일","60대","남성","31224"
"201806","토요일","60대","여성","18173"
"201806","토요일","70대 이상","남성","9607"
"201806","토요일","70대 이상","여성","5184"
"201806","토요일","알수없음","알수없음","76331"
"201806","화요일","19세 이하","남성","1154"
"201806","화요일","19세 이하","여성","873"
"201806","화요일","20대","남성","41881"
"201806","화요일","20대","여성","44943"
"201806","화요일","30대","남성","67372"
"201806","화요일","30대","여성","53536"
"201806","화요일","40대","남성","79580"
"201806","화요일","40대","여성","55979"
"201806","화요일","50대","남성","63960"
"201806","화요일","50대","여성","42628"
"201806","화요일","60대","남성","28766"
"201806","화요일","60대","여성","18032"
"201806","화요일","70대 이상","남성","9051"
"201806","화요일","70대 이상","여성","5162"
"201806","화요일","알수없음","알수없음","84916"
"201807","공휴일","40대","여성","1"
"201807","금요일","19세 이하","남성","1351"
"201807","금요일","19세 이하","여성","1162"
"201807","금요일","20대","남성","47966"
"201807","금요일","20대","여성","47746"
"201807","금요일","30대","남성","76607"
"201807","금요일","30대","여성","57105"
"201807","금요일","40대","남성","91757"
"201807","금요일","40대","여성","63066"
"201807","금요일","50대","남성","73133"
"201807","금요일","50대","여성","45257"
"201807","금요일","60대","남성","30819"
"201807","금요일","60대","여성","18282"
"201807","금요일","70대 이상","남성","9362"
"201807","금요일","70대 이상","여성","5153"
"201807","금요일","알수없음","알수없음","94363"
"201807","목요일","19세 이하","남성","1438"
"201807","목요일","19세 이하","여성","1267"
"201807","목요일","20대","남성","48999"
"201807","목요일","20대","여성","50837"
"201807","목요일","30대","남성","69859"
"201807","목요일","30대","여성","53496"
"201807","목요일","40대","남성","84758"
